county,town,village,office,number,candidates,votes
南投縣,中寮鄉,中寮村,199,1,朱立倫/王如玄,132
南投縣,中寮鄉,中寮村,199,2,蔡英文/陳建仁,189
南投縣,中寮鄉,中寮村,199,3,宋楚瑜/徐欣瑩,46
南投縣,中寮鄉,內城村,206,1,朱立倫/王如玄,87
南投縣,中寮鄉,內城村,206,2,蔡英文/陳建仁,140
南投縣,中寮鄉,內城村,206,3,宋楚瑜/徐欣瑩,33
南投縣,中寮鄉,八仙村,191,1,朱立倫/王如玄,65
南投縣,中寮鄉,八仙村,191,2,蔡英文/陳建仁,114
南投縣,中寮鄉,八仙村,191,3,宋楚瑜/徐欣瑩,26
南投縣,中寮鄉,八仙村,192,1,朱立倫/王如玄,70
南投縣,中寮鄉,八仙村,192,2,蔡英文/陳建仁,142
南投縣,中寮鄉,八仙村,192,3,宋楚瑜/徐欣瑩,36
南投縣,中寮鄉,和興村,195,1,朱立倫/王如玄,101
南投縣,中寮鄉,和興村,195,2,蔡英文/陳建仁,218
南投縣,中寮鄉,和興村,195,3,宋楚瑜/徐欣瑩,49
南投縣,中寮鄉,崁頂村,189,1,朱立倫/王如玄,38
南投縣,中寮鄉,崁頂村,189,2,蔡英文/陳建仁,84
南投縣,中寮鄉,崁頂村,189,3,宋楚瑜/徐欣瑩,26
南投縣,中寮鄉,崁頂村,190,1,朱立倫/王如玄,35
南投縣,中寮鄉,崁頂村,190,2,蔡英文/陳建仁,78
南投縣,中寮鄉,崁頂村,190,3,宋楚瑜/徐欣瑩,23
南投縣,中寮鄉,廣福村,200,1,朱立倫/王如玄,72
南投縣,中寮鄉,廣福村,200,2,蔡英文/陳建仁,228
南投縣,中寮鄉,廣福村,200,3,宋楚瑜/徐欣瑩,39
南投縣,中寮鄉,廣興村,188,1,朱立倫/王如玄,117
南投縣,中寮鄉,廣興村,188,2,蔡英文/陳建仁,343
南投縣,中寮鄉,廣興村,188,3,宋楚瑜/徐欣瑩,60
南投縣,中寮鄉,復興村,196,1,朱立倫/王如玄,44
南投縣,中寮鄉,復興村,196,2,蔡英文/陳建仁,98
南投縣,中寮鄉,復興村,196,3,宋楚瑜/徐欣瑩,33
南投縣,中寮鄉,永和村,211,1,朱立倫/王如玄,98
南投縣,中寮鄉,永和村,211,2,蔡英文/陳建仁,194
南投縣,中寮鄉,永和村,211,3,宋楚瑜/徐欣瑩,51
南投縣,中寮鄉,永平村,197,1,朱立倫/王如玄,164
南投縣,中寮鄉,永平村,197,2,蔡英文/陳建仁,286
南投縣,中寮鄉,永平村,197,3,宋楚瑜/徐欣瑩,100
南投縣,中寮鄉,永平村,198,1,朱立倫/王如玄,148
南投縣,中寮鄉,永平村,198,2,蔡英文/陳建仁,237
南投縣,中寮鄉,永平村,198,3,宋楚瑜/徐欣瑩,50
南投縣,中寮鄉,永福村,201,1,朱立倫/王如玄,68
南投縣,中寮鄉,永福村,201,2,蔡英文/陳建仁,129
